osm_id,network_id
12210,set()
18171,set()
5363,{'379555'}
18507,set()
30427,{'409721'}
30078,set()
6499,set()
9539,{'570603'}
18699,{'548509'}
21802,{'570624'}
16344,{'216306'}
5849,{'254114'}
27169,set()
26200,set()
10308,set()
7774,{'277723'}
24961,set()
1581,{'92620'}
18057,{'80973'}
26570,{'277788'}
8817,{'237576'}
19177,{'535229'}
24474,{'571031'}
13734,set()
26318,set()
13887,set()
1420,set()
24801,{'516474'}
1122,set()
29612,{'428526'}
18641,set()
13995,set()
10136,set()
8912,{'125068'}
24957,set()
26787,{'273167'}
20026,{'537765'}
13252,"{'515765', '462590'}"
5819,{'516474'}
14699,set()
5892,set()
16537,set()
29332,{'308848'}
4493,{'48795'}
583,{'416255'}
29975,{'350380'}
5664,set()
19204,set()
5627,set()
29947,{'410610'}
5783,{'252027'}
21705,set()
15288,{'571669'}
4966,set()
14737,set()
6547,{'27046'}
15366,set()
10004,set()
26510,set()
29598,{'558396'}
28669,{'269372'}
11117,{'39116'}
11701,{'254593'}
10239,{'106915'}
22949,"{'543674', '387762'}"
2113,{'20490'}
28136,set()
14761,{'410610'}
3476,{'545372'}
6194,{'282408'}
21658,{'558194'}
23914,set()
16173,"{'516378', '570606'}"
28621,{'490708'}
9618,set()
27585,{'514705'}
10826,{'233331'}
19652,{'514833'}
14456,{'89340'}
5698,{'571669'}
24506,set()
1940,set()
30433,set()
25208,set()
6175,set()
4874,{'423984'}
11903,set()
20870,set()
4282,{'227193'}
3956,{'310619'}
7872,set()
18190,{'317121'}
25570,set()
13485,set()
697,set()
12429,set()
22729,set()
10025,{'261797'}
8730,{'254734'}
22475,{'408134'}
27931,set()
4810,{'553883'}
11620,{'571029'}
11084,{'487948'}
20983,set()
5788,set()
24688,set()
28142,set()
14851,"{'259533', '467229'}"
21793,set()
8679,set()
13814,{'550170'}
6888,{'89162'}
1978,{'106915'}
6853,{'460656'}
22403,{'29806'}
4907,{'379555'}
25875,set()
26961,set()
29845,set()
11114,{'459907'}
13754,set()
19975,{'467689'}
23126,set()
5364,set()
26286,set()
19418,{'486721'}
8349,set()
27374,set()
23358,"{'64934', '459933'}"
23255,{'572116'}
25581,set()
22641,{'343426'}
26087,{'554140'}
20315,"{'545812', '226167'}"
15536,{'436449'}
25979,{'551885'}
29873,set()
7059,{'517786'}
8840,{'17355'}
15281,{'308896'}
6947,{'538531'}
14308,set()
6916,set()
6929,"{'278498', '277735'}"
6177,set()
2470,set()
2390,set()
17123,set()
26132,{'291710'}
2557,{'440661'}
727,set()
17824,{'483485'}
22356,set()
26782,{'255982'}
15210,set()
14865,{'103342'}
26474,{'343517'}
29879,{'467315'}
6122,{'485510'}
22411,{'549010'}
28454,"{'107169', '517839', '334871'}"
1629,{'387407'}
4230,set()
967,set()
3371,{'570603'}
24201,{'3612'}
28227,{'572125'}
18564,"{'430969', '410456'}"
4976,{'494980'}
30391,set()
11431,{'558418'}
15672,set()
23464,set()
19210,set()
22760,{'380597'}
5680,{'494151'}
2300,{'308896'}
24843,set()
20669,{'572116'}
6402,{'319139'}
29499,set()
17060,set()
26435,set()
5900,{'532423'}
20998,set()
18352,{'272175'}
11388,set()
22072,{'420705'}
22422,{'436455'}
12276,{'278245'}
10887,set()
20982,set()
23580,set()
8440,{'545959'}
15327,"{'254472', '409721'}"
21982,set()
21813,{'516442'}
11327,{'545883'}
23051,{'297114'}
4734,{'203175'}
4903,{'410528'}
6352,set()
14285,"{'122384', '284785'}"
20078,{'558268'}
4405,{'280224'}
18288,set()
22973,set()
5375,{'15971'}
26111,{'494938'}
21300,{'273167'}
25070,set()
9040,{'310584'}
3387,set()
20768,{'551280'}
15406,{'525759'}
12118,set()
24496,set()
13825,{'551344'}
